名前,父,母
ライスシャワー,リアルシャダイ,ライラックポイント
リアルシャダイ,Roberto,Desert Vixen
Roberto,Hail to Reason,Bramalea
Hail to Reason,Turn-to,Nothirdchance
Turn-to,Royal Charger,Source Sucree
Nothirdchance,Blue Swords,Galla Colors
Bramalea,Nashua,Rarelea
Nashua,Nasrullah,Segula
Rarelea,Bull Lea,Bleebok
Desert Vixen,In Reality,Desert Trial
In Reality,Intentionally,My Dear Girl
Intentionally,Intent,My Recipe
My Dear Girl,Rough'n Tumble,Iltis
Desert Trial,Moslem Chief,Scotch Verdict
Moslem Chief,Alibhai,Up the Hill
Scotch Verdict,Alsab,Glen Arvis
ライラックポイント,マルゼンスキー,クリカツラ
マルゼンスキー,Nijinsky,シル
Nijinsky,Northern Dancer,Flaming Page
Northern Dancer,Nearctic,Natalma
Flaming Page,Bull Page,Flaring Top
シル,Buckpasser,Quill
Buckpasser,Tom Fool,Busanda
Quill,Princequillo,Quick Touch
クリカツラ,ティエポロ,クリノホシ
ティエポロ,Blue Peter,Trevisana
Blue Peter,Fairway,Fancy Free
Trevisana,Niccolo Dell'Arca,Tofanella
クリノホシ,プリメロ,オホヒカリ
プリメロ,Blandford,Athasi
オホヒカリ,月友,アイリツシユアイズ
