名前,父,母
ラヴズオンリーユー,ディープインパクト,ラヴズオンリーミー
ディープインパクト,サンデーサイレンス,ウインドインハーヘア
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Cosmah,Cosmic Bomb,Almahmoud
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Mountain Flower,Montparnasse,Edelweiss
ウインドインハーヘア,Alzao,Burghclere
Alzao,Lyphard,Lady Rebecca
Lyphard,Northern Dancer,Goofed
Lady Rebecca,Sir Ivor,Pocahontas
Burghclere,Busted,Highclere
Busted,Crepello,Sans le Sou
Highclere,Queen's Hussar,Highlight
ラヴズオンリーミー,Storm Cat,Monevassia
Storm Cat,Storm Bird,Terlingua
Storm Bird,Northern Dancer,South Ocean
Northern Dancer,Nearctic,Natalma
South Ocean,New Providence,Shining Sun
Terlingua,Secretariat,Crimson Saint
Secretariat,Bold Ruler,Somethingroyal
Crimson Saint,Crimson Satan,Bolero Rose
Monevassia,Mr. Prospector,Miesque
Mr. Prospector,Raise a Native,Gold Digger
Raise a Native,Native Dancer,Raise You
Gold Digger,Nashua,Sequence
Miesque,Nureyev,Pasadoble
Nureyev,Northern Dancer,Special
Pasadoble,Prove Out,Santa Quilla
