名前,父,母
ロイヤルチャレンヂャー,Royal Charger,Skerweather
Royal Charger,Nearco,Sun Princess
Nearco,Pharos,Nogara
Pharos,Phalaris,Scapa Flow
Phalaris,Polymelus,Bromus
Scapa Flow,Chaucer,Anchora
Nogara,Havresac,Catnip
Havresac,Rabelais,Hors Concours
Catnip,Spearmint,Sibola
Sun Princess,Solario,Mumtaz Begum
Solario,Gainsborough,Sun Worship
Gainsborough,Bayardo,Rosedrop
Sun Worship,Sundridge,Doctrine
Mumtaz Begum,Blenheim,Mumtaz Mahal
Blenheim,Blandford,Malva
Mumtaz Mahal,The Tetrarch,Lady Josephine
Skerweather,Singapore,Nash Light
Singapore,Gainsborough,Tetrabbazia
Bayardo,Bay Ronald,Galicia
Rosedrop,St. Frusquin,Rosaline
Tetrabbazia,The Tetrarch,Abbazia
The Tetrarch,Roi Herode,Vahren
Abbazia,Isinglass,Mrs. Butterwick
Nash Light,Galloper Light,Polite
Galloper Light,Sunstar,Santa Fina
Sunstar,Sundridge,Doris
Santa Fina,St. Frusquin,Grig
Polite,Pommern,Starlight
Pommern,Polymelus,Merry Agnes
Starlight,Sunstar,Singlet
