名前,父,母
アグネスデジタル,Crafty Prospector,Chancey Squaw
Crafty Prospector,Mr. Prospector,Real Crafty Lady
Mr. Prospector,Raise a Native,Gold Digger
Raise a Native,Native Dancer,Raise You
Native Dancer,Polynesian,Geisha
Raise You,Case Ace,Lady Glory
Gold Digger,Nashua,Sequence
Nashua,Nasrullah,Segula
Sequence,Count Fleet,Miss Dogwood
Real Crafty Lady,In Reality,Princess Roycraft
In Reality,Intentionally,My Dear Girl
Intentionally,Intent,My Recipe
My Dear Girl,Rough'n Tumble,Iltis
Princess Roycraft,Royal Note,Crafty Princess
Royal Note,Spy Song,Penroyal
Crafty Princess,Crafty Admiral,Adjournment
Chancey Squaw,Chief's Crown,Allicance
Chief's Crown,Danzig,Six Crowns
Danzig,Northern Dancer,Pas de Nom
Northern Dancer,Nearctic,Natalma
Pas de Nom,Admiral's Voyage,Petitioner
Six Crowns,Secretariat,Chris Evert
Secretariat,Bold Ruler,Somethingroyal
Chris Evert,Swoon's Son,Miss Carmie
Allicance,Alleged,Runaway Bride
Alleged,Hoist the Flag,Princess Pout
Hoist the Flag,Tom Rolfe,Wavy Navy
Princess Pout,Prince John,Determined Lady
Runaway Bride,Wild Risk,Aimee
Wild Risk,Rialto,Wild Violet
Aimee,Tudor Minstrel,Emali
