名前,父,母
アストンマーチャン,アドマイヤコジーン,ラスリングカプス
アドマイヤコジーン,Cozzene,アドマイヤマカディ
Cozzene,Caro,Ride the Trails
Caro,フォルティノ,Chambord
フォルティノ,Grey Sovereign,Ranavalo
Chambord,Chamossaire,Life Hill
Ride the Trails,Prince John,Wildwook
Prince John,Princequillo,Not Afraid
Wildwook,Sir Gaylord,Blue Canoe
アドマイヤマカディ,ノーザンテースト,ミセスマカディー
ノーザンテースト,Northern Dancer,Lady Victoria
Northern Dancer,Nearctic,Natalma
Lady Victoria,Victoria Park,Lady Angela
ミセスマカディー,トライバルチーフ,Hanina
トライバルチーフ,Princely Gift,Mwanza
Hanina,Darling Boy,Blue Sash
ラスリングカプス,Woodman,フィールディ
Woodman,Mr. Prospector,プレイメイト
Mr. Prospector,Raise a Native,Gold Digger
Raise a Native,Native Dancer,Raise You
Gold Digger,Nashua,Sequence
プレイメイト,Buckpasser,Intriguing
Buckpasser,Tom Fool,Busanda
Intriguing,Swaps,Glamour
フィールディ,Northfields,Gramy
Northfields,Northern Dancer,Little Hut
Little Hut,Occupy,Savage Beauty
Gramy,Tapioca,Gracile
Tapioca,Vandale,Semoule d'Or
Gracile,Silnet,Grandeur
