名前,父,母
アーモンドアイ,ロードカナロア,フサイチパンドラ
ロードカナロア,キングカメハメハ,レディブラッサム
キングカメハメハ,Kingmambo,マンファス
Kingmambo,Mr. Prospector,Miesque
Mr. Prospector,Raise a Native,Gold Digger
Miesque,Nureyev,Pasadoble
マンファス,ラストタイクーン,Pilot Bird
ラストタイクーン,トライマイベスト,Mill Princess
Pilot Bird,Blakeney,The Dancer
レディブラッサム,Storm Cat,サラトガデュー
Storm Cat,Storm Bird,Terlingua
Storm Bird,Northern Dancer,South Ocean
Terlingua,Secretariat,Crimson Saint
サラトガデュー,Cormorant,Super Luna
Cormorant,His Majesty,Song Sparrow
Super Luna,In Reality,Alada
フサイチパンドラ,サンデーサイレンス,ロッタレース
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Cosmah,Cosmic Bomb,Almahmoud
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Mountain Flower,Montparnasse,Edelweiss
ロッタレース,Nureyev,Sex Appeal
Nureyev,Northern Dancer,Special
Northern Dancer,Nearctic,Natalma
Special,Forli,Thong
Sex Appeal,Buckpasser,Best in Show
Buckpasser,Tom Fool,Busanda
Best in Show,Traffic Judge,Stolen Hour
