名前,父,母
イナリワン,ミルジョージ,テイトヤシマ
ミルジョージ,Mill Reef,Miss Charisma
Mill Reef,Never Bend,Milan Mill
Never Bend,Nasrullah,Lalun
Nasrullah,Nearco,Mumtaz Begum
Lalun,Djeddah,Be Faithful
Milan Mill,Princequillo,Virginia Water
Princequillo,Prince Rose,Cosquilla
Virginia Water,Count Fleet,Red Ray
Miss Charisma,Ragusa,マタテイナ
Ragusa,Ribot,Fantan
Ribot,Tenerani,Romanella
Fantan,Ambiorix,Red Eye
マタテイナ,Grey Sovereign,Zanzara
Grey Sovereign,Nasrullah,Kong
Zanzara,Fairey Fulmar,Sunright
テイトヤシマ,ラークスパー,ヤシマジェット
ラークスパー,Never Say Die,Skylarking
Never Say Die,Nasrullah,Singing Grass
Singing Grass,War Admiral,Boreale
Skylarking,Precipitation,Woodlark
Precipitation,Hurry On,Double Life
Woodlark,Bois Roussel,Aurora
ヤシマジェット,ソロナウェー,ヤシマニシキ
ソロナウェー,Solferino,Anyway
Solferino,Fairway,Sol Speranza
Anyway,Grand Glacier,The Widow Murphy
ヤシマニシキ,セフト,神正
セフト,Tetratema,Voleuse
神正,ダイオライト,種正
