名前,父,母
ウインバリアシオン,ハーツクライ,スーパーバレリーナ
ハーツクライ,サンデーサイレンス,アイリッシュダンス
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Cosmah,Cosmic Bomb,Almahmoud
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Mountain Flower,Montparnasse,Edelweiss
アイリッシュダンス,トニービン,ビューパーダンス
トニービン,カンパラ,Severn Bridge
カンパラ,Kalamoun,State Pension
Severn Bridge,Hornbeam,Priddy Fair
ビューパーダンス,Lyphard,My Bupers
Lyphard,Northern Dancer,Goofed
My Bupers,Bupers,Princess Revoked
スーパーバレリーナ,Storm Bird,カウントオンアチェンジ
Storm Bird,Northern Dancer,South Ocean
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Natalma,Native Dancer,Almahmoud
South Ocean,New Providence,Shining Sun
New Providence,Bull Page,Fair Colleen
Shining Sun,Chop Chop,Solar Display
カウントオンアチェンジ,Time for a Change,Count On Kathy
Time for a Change,Damascus,Resolver
Damascus,Sword Dancer,Kerala
Resolver,Reviewer,Lovely Morning
Count On Kathy,Dancing Count,War Exchange
Dancing Count,Northern Dancer,Snow Court
War Exchange,Wise Exchange,Jungle War
