名前,父,母
エアメサイア,サンデーサイレンス,エアデジャヴー
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Turn-to,Royal Charger,Source Sucree
Nothirdchance,Blue Swords,Galla Colors
Cosmah,Cosmic Bomb,Almahmoud
Cosmic Bomb,Pharamond,Banish Fear
Almahmoud,Mahmoud,Arbitrator
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Promised Land,Palestinian,Mahmoudess
Pretty Ways,Stymie,Pretty Jo
Mountain Flower,Montparnasse,Edelweiss
Montparnasse,Gulf Stream,Mignon
Edelweiss,Hillary,Dowager
エアデジャヴー,ノーザンテースト,アイドリームドアドリーム
ノーザンテースト,Northern Dancer,Lady Victoria
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Natalma,Native Dancer,Almahmoud
Lady Victoria,Victoria Park,Lady Angela
Victoria Park,Chop Chop,Victoriana
Lady Angela,Hyperion,Sister Sarah
アイドリームドアドリーム,Well Decorated,Hidden Trail
Well Decorated,Raja Baba,Paris Breeze
Raja Baba,Bold Ruler,Missy Baba
Paris Breeze,Majestic Prince,Tudor Jet
Hidden Trail,Gleaming,Tobacco Trail
Gleaming,Herbager,A Gleam
Tobacco Trail,Ribot,On the Trail
