名前,父,母
エイシンフラッシュ,キングズベスト,ムーンレディ
キングズベスト,Kingmambo,Allegretta
Kingmambo,Mr. Prospector,Miesque
Mr. Prospector,Raise a Native,Gold Digger
Raise a Native,Native Dancer,Raise You
Gold Digger,Nashua,Sequence
Miesque,Nureyev,Pasadoble
Nureyev,Northern Dancer,Special
Pasadoble,Prove Out,Santa Quilla
Allegretta,Lombard,Anatevka
Lombard,Agio,Promised Lady
Agio,Tantieme,Aralia
Promised Lady,Prince Chevalier,Belle Sauvage
Anatevka,Espresso,Almyra
Espresso,Acropolis,Babylon
Almyra,Birkhahn,Alameda
ムーンレディ,プラティニ,Midnight Fever
プラティニ,Surumu,Prairie Darling
Surumu,Literat,Surama
Literat,Birkhahn,Lis
Surama,Reliance,Suncourt
Prairie Darling,Stanford,Prairie Belle
Stanford,Red God,Sweet Almond
Prairie Belle,Northfields,Prairie Beauty
Midnight Fever,Sure Blade,Majoritat
Sure Blade,Kris,Double Lock
Kris,Sharpen Up,Doubly Sure
Double Lock,Home Guard,St. Padina
Majoritat,Konigsstuhl,Monacchia
Konigsstuhl,Dschingis Khan,Konigskronung
Monacchia,Bacchus,Monacensia
