名前,父,母
エスポワールシチー,ゴールドアリュール,エミネントシチー
ゴールドアリュール,サンデーサイレンス,ニキーヤ
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Cosmah,Cosmic Bomb,Almahmoud
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Mountain Flower,Montparnasse,Edelweiss
ニキーヤ,Nureyev,Reluctant Guest
Nureyev,Northern Dancer,Special
Northern Dancer,Nearctic,Natalma
Special,Forli,Thong
Reluctant Guest,Hostage,Vaguely Royal
Hostage,Nijinsky,Entente
Vaguely Royal,Vaguely Noble,Shoshanna
エミネントシチー,ブライアンズタイム,ヘップバーンシチー
ブライアンズタイム,Roberto,Kelley's Day
Roberto,Hail to Reason,Bramalea
Bramalea,Nashua,Rarelea
Kelley's Day,Graustark,Golden Trail
Graustark,Ribot,Flower Bowl
Golden Trail,Hasty Road,Sunny Vale
ヘップバーンシチー,ブレイヴェストローマン,コンパルシチー
ブレイヴェストローマン,Never Bend,Roman Song
Never Bend,Nasrullah,Lalun
Roman Song,Roman,Quiz Song
コンパルシチー,トラフィック,リンネス
トラフィック,Traffic Judge,Capelet
リンネス,フィダルゴ,ジーゲリン
