名前,父,母
エルコンドルパサー,Kingmambo,サドラーズギャル
Kingmambo,Mr. Prospector,Miesque
Mr. Prospector,Raise a Native,Gold Digger
Raise a Native,Native Dancer,Raise You
Native Dancer,Polynesian,Geisha
Raise You,Case Ace,Lady Glory
Gold Digger,Nashua,Sequence
Nashua,Nasrullah,Segula
Sequence,Count Fleet,Miss Dogwood
Miesque,Nureyev,Pasadoble
Nureyev,Northern Dancer,Special
Northern Dancer,Nearctic,Natalma
Special,Forli,Thong
Pasadoble,Prove Out,Santa Quilla
Prove Out,Graustark,Equal Venture
Santa Quilla,Sanctus,Neriad
サドラーズギャル,Sadler's Wells,Glenveagh
Sadler's Wells,Northern Dancer,Fairy Bridge
Nearctic,Nearco,Lady Angela
Natalma,Native Dancer,Almahmoud
Fairy Bridge,Bold Reason,Special
Bold Reason,Hail to Reason,Lalun
Glenveagh,Seattle Slew,Lisadell
Seattle Slew,Bold Reasoning,My Charmer
Bold Reasoning,Boldnesian,Reason to Earn
My Charmer,Poker,Fair Charmer
Lisadell,Forli,Thong
Forli,Aristophanes,Trevisa
Thong,Nantallah,Rough Shod
