名前,父,母
オグリキャップ,ダンシングキャップ,ホワイトナルビー
ダンシングキャップ,Native Dancer,Merry Madcap
Native Dancer,Polynesian,Geisha
Polynesian,Unbreakable,Black Polly
Unbreakable,Sickle,Blue Glass
Black Polly,Polymelian,Black Queen
Geisha,Discovery,Miyako
Discovery,Display,Ariadne
Miyako,John P. Grier,La Chica
Merry Madcap,Grey Sovereign,Croft Lady
Grey Sovereign,Nasrullah,Kong
Nasrullah,Nearco,Mumtaz Begum
Kong,Baytown,Clang
Croft Lady,Golden Cloud,Land of Hope
Golden Cloud,Gold Bridge,Rainstorm
Land of Hope,Court Martial,Little Britain
ホワイトナルビー,シルバーシャーク,ネヴアーナルビー
シルバーシャーク,Buisson Ardent,Palsaka
Buisson Ardent,Relic,Rose O'Lynn
Relic,War Relic,Bridal Colors
Rose O'Lynn,Pherozshah,Rocklyn
Palsaka,Palestine,Masaka
Palestine,Fair Trial,Una
Masaka,Nearco,Majideh
ネヴアーナルビー,ネヴァービート,センジユウ
ネヴァービート,Never Say Die,Bride Elect
Never Say Die,Nasrullah,Singing Grass
Bride Elect,Big Game,Netherton Maid
センジユウ,ガーサント,スターナルビー
ガーサント,Bubbles,Montagnana
スターナルビー,ハロウエー,クインナルビー
