名前,父,母
カルストンライトオ,ウォーニング,オオシマルチア
ウォーニング,Known Fact,Slightly Dangerous
Known Fact,In Reality,Tamerett
In Reality,Intentionally,My Dear Girl
Intentionally,Intent,My Recipe
My Dear Girl,Rough'n Tumble,Iltis
Tamerett,Tim Tam,Mixed Marriage
Tim Tam,Tom Fool,Two Lea
Mixed Marriage,Tudor Minstrel,Persian Maid
Slightly Dangerous,Roberto,Where You Lead
Roberto,Hail to Reason,Bramalea
Hail to Reason,Turn-to,Nothirdchance
Bramalea,Nashua,Rarelea
Where You Lead,Raise a Native,Noblesse
Raise a Native,Native Dancer,Raise You
Noblesse,Mossborough,Duke's Delight
オオシマルチア,クリスタルグリッターズ,オオシマスズラン
クリスタルグリッターズ,Blushing Groom,Tales to Tell
Blushing Groom,Red God,Runaway Bride
Red God,Nasrullah,Spring Run
Runaway Bride,Wild Risk,Aimee
Tales to Tell,Donut King,Fleeting Doll
Donut King,Determine,Strayed
Fleeting Doll,Fleet Nasrullah,Chinese Doll
オオシマスズラン,カウアイキング,ネバージョオー
カウアイキング,Native Dancer,Sweep In
Native Dancer,Polynesian,Geisha
Sweep In,Blenheim,Sweepesta
ネバージョオー,ネヴァービート,グンシン
ネヴァービート,Never Say Die,Bride Elect
グンシン,リンボー,ハーヴアート
