名前,父,母
カレンチャン,クロフネ,スプリングチケット
クロフネ,フレンチデピュティ,ブルーアヴェニュー
フレンチデピュティ,Deputy Minister,Mitterand
Deputy Minister,Vice Regent,Mint Copy
Vice Regent,Northern Dancer,Victoria Regina
Mint Copy,Bunty's Flight,Shakney
Mitterand,Hold Your Peace,Laredo Lass
Hold Your Peace,Speak John,Blue Moon
Laredo Lass,Bold Ruler,Fortunate Isle
ブルーアヴェニュー,Classic Go Go,Eliza Blue
Classic Go Go,Pago Pago,Classic Perfection
Pago Pago,Matrice,Pompilia
Classic Perfection,Never Bend,Mira Femme
Eliza Blue,Icecapade,コレラ
Icecapade,Nearctic,Shenanigans
コレラ,Roberto,Catania
スプリングチケット,トニービン,カズミハルコマ
トニービン,カンパラ,Severn Bridge
カンパラ,Kalamoun,State Pension
Kalamoun,ゼダーン,Khairunissa
State Pension,オンリーフォアライフ,Lorelei
Severn Bridge,Hornbeam,Priddy Fair
Hornbeam,Hyperion,Thicket
Priddy Fair,Preciptic,Campanette
カズミハルコマ,マルゼンスキー,センシユータカラ
マルゼンスキー,Nijinsky,シル
Nijinsky,Northern Dancer,Flaming Page
シル,Buckpasser,Quill
センシユータカラ,ヴェンチア,シヤダイウイング
ヴェンチア,Relic,Rose O'Lynn
シヤダイウイング,ゲイタイム,ブラツクターキン
