名前,父,母
キタサンブラック,ブラックタイド,シュガーハート
ブラックタイド,サンデーサイレンス,ウインドインハーヘア
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Cosmah,Cosmic Bomb,Almahmoud
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Mountain Flower,Montparnasse,Edelweiss
ウインドインハーヘア,Alzao,Burghclere
Alzao,Lyphard,Lady Rebecca
Lyphard,Northern Dancer,Goofed
Lady Rebecca,Sir Ivor,Pocahontas
Burghclere,Busted,Highclere
Busted,Crepello,Sans le Sou
Highclere,Queen's Hussar,Highlight
シュガーハート,サクラバクシンオー,オトメゴコロ
サクラバクシンオー,サクラユタカオー,サクラハゴロモ
サクラユタカオー,テスコボーイ,アンジェリカ
テスコボーイ,Princely Gift,Suncourt
アンジェリカ,ネヴァービート,スターハイネス
サクラハゴロモ,ノーザンテースト,クリアアンバー
ノーザンテースト,Northern Dancer,Lady Victoria
クリアアンバー,Ambiopoise,One Clear Call
オトメゴコロ,ジャッジアンジェルーチ,テイズリー
ジャッジアンジェルーチ,Honest Pleasure,Victorian Queen
Honest Pleasure,What a Pleasure,Tularia
Victorian Queen,Victoria Park,Willowfield
テイズリー,Lyphard,Tizna
Tizna,Trevieres,Noris
