名前,父,母
キラクハート,ダイハード,トミユキ
ダイハード,Never Say Die,Mixed Blessing
Never Say Die,Nasrullah,Singing Grass
Nasrullah,Nearco,Mumtaz Begum
Nearco,Pharos,Nogara
Mumtaz Begum,Blenheim,Mumtaz Mahal
Singing Grass,War Admiral,Boreale
War Admiral,Man o'War,Brushup
Boreale,Vatout,Galaday
Mixed Blessing,Brumeux,Pot-pourri
Brumeux,Teddy,La Brume
Teddy,Ajax,Rondeau
La Brume,Alcantara,Aquarelle
Pot-pourri,Rose Prince,Sweet Lavender
Rose Prince,Prince Palatine,Eglantine
Sweet Lavender,Swynford,Marchetta
トミユキ,セントライト,青東
セントライト,ダイオライト,フリツパンシー
ダイオライト,Diophon,Needle Rock
Diophon,Grand Parade,Donnetta
Needle Rock,Rock Sand,Needlepoint
フリツパンシー,Flamboyant,Slip
Flamboyant,Tracery,Simonath
Slip,Robert le Diable,Snip
青東,タラツプ,セヴアイン
タラツプ,Gainsborough,Mary Machree
Gainsborough,Bayardo,Rosedrop
Mary Machree,Desmond,Vain Duchess
セヴアイン,George Smith,Gloriana
George Smith,Out of Reach,Consuelo
Gloriana,Meddler,Ballantrae
