名前,父,母
キングカメハメハ,Kingmambo,マンファス
Kingmambo,Mr. Prospector,Miesque
Mr. Prospector,Raise a Native,Gold Digger
Raise a Native,Native Dancer,Raise You
Native Dancer,Polynesian,Geisha
Raise You,Case Ace,Lady Glory
Gold Digger,Nashua,Sequence
Nashua,Nasrullah,Segula
Sequence,Count Fleet,Miss Dogwood
Miesque,Nureyev,Pasadoble
Nureyev,Northern Dancer,Special
Northern Dancer,Nearctic,Natalma
Special,Forli,Thong
Pasadoble,Prove Out,Santa Quilla
Prove Out,Graustark,Equal Venture
Santa Quilla,Sanctus,Neriad
マンファス,ラストタイクーン,Pilot Bird
ラストタイクーン,トライマイベスト,Mill Princess
トライマイベスト,Northern Dancer,Sex Appeal
Sex Appeal,Buckpasser,Best in Show
Mill Princess,Mill Reef,Irish Lass
Mill Reef,Never Bend,Milan Mill
Irish Lass,Sayajirao,Scollata
Pilot Bird,Blakeney,The Dancer
Blakeney,Hethersett,Windmill Girl
Hethersett,Hugh Lupus,Bride Elect
Windmill Girl,Hornbeam,Chorus Beauty
The Dancer,Green Dancer,Khazaeen
Green Dancer,Nijinsky,Green Valley
Khazaeen,Charlottesville,Aimee
