名前,父,母
ギャロップダイナ,ノーザンテースト,アスコツトラップ
ノーザンテースト,Northern Dancer,Lady Victoria
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Nearco,Pharos,Nogara
Lady Angela,Hyperion,Sister Sarah
Natalma,Native Dancer,Almahmoud
Native Dancer,Polynesian,Geisha
Almahmoud,Mahmoud,Arbitrator
Lady Victoria,Victoria Park,Lady Angela
Victoria Park,Chop Chop,Victoriana
Chop Chop,Flares,Sceptical
Victoriana,Windfields,Iribelle
Hyperion,Gainsborough,Selene
Sister Sarah,Abbots Trace,Sarita
アスコツトラップ,エルセンタウロ,ディープデイーン
エルセンタウロ,Sideral,Planetaria
Sideral,Seductor,Starling
Seductor,Full Sail,Suma
Starling,Noble Star,Feola
Planetaria,Penny Post,Crescent
Penny Post,Embrujo,Encomienda
Crescent,Rustom Pasha,Sickle Moon
ディープデイーン,Bold Ruler,High Bid
Bold Ruler,Nasrullah,Miss Disco
Nasrullah,Nearco,Mumtaz Begum
Miss Disco,Discovery,Outdone
High Bid,To Market,Stepping Stone
To Market,Market Wise,Pretty Does
Stepping Stone,Princequillo,Step Across
