名前,父,母
クインナルビー,クモハタ,第一シユリリー
クモハタ,トウルヌソル,星旗
トウルヌソル,Gainsborough,Soliste
Gainsborough,Bayardo,Rosedrop
Bayardo,Bay Ronald,Galicia
Rosedrop,St. Frusquin,Rosaline
Soliste,Prince William,Sees
Prince William,Bill of Portland,La Vierge
Sees,Chesterfield,La Goulue
星旗,Gnome,Tuscan Maiden
Gnome,Whisk Broom,Fairy Sprite
Whisk Broom,Broomstick,Audience
Fairy Sprite,Voter,Cinderella
Tuscan Maiden,Maiden Erlegh,Tuscan Red
Maiden Erlegh,Polymelus,Plum Tart
Tuscan Red,William Rufus,Fine Feathers
第一シユリリー,レヴユーオーダー,シユリリー
レヴユーオーダー,Grand Parade,Accurate
Grand Parade,Orby,Grand Geraldine
Orby,Orme,Rhoda B.
Grand Geraldine,Desmond,Grand Marnier
Accurate,Pericles,Accuracy
Pericles,Persimmon,Antibes
Accuracy,Veracity,Drill
シユリリー,Treclare,Warwhoop
Treclare,Tredennis,Clare
Tredennis,Kendal,St. Marguerite
Clare,Desmond,Sheila
Warwhoop,Maltster,Warfare
Maltster,Bill of Portland,Barley
Warfare,Grand Flaneur,Ordnance
