名前,父,母
グラスワンダー,Silver Hawk,Ameriflora
Silver Hawk,Roberto,Gris Vitesse
Roberto,Hail to Reason,Bramalea
Hail to Reason,Turn-to,Nothirdchance
Turn-to,Royal Charger,Source Sucree
Nothirdchance,Blue Swords,Galla Colors
Bramalea,Nashua,Rarelea
Nashua,Nasrullah,Segula
Rarelea,Bull Lea,Bleebok
Gris Vitesse,Amerigo,Matchiche
Amerigo,Nearco,Sanlinea
Nearco,Pharos,Nogara
Sanlinea,Precipitation,Sun Helmet
Matchiche,Mat de Cocagne,Chimere Fabuleuse
Mat de Cocagne,Birikil,Fascine
Chimere Fabuleuse,Coaraze,Nine
Ameriflora,Danzig,Graceful Touch
Danzig,Northern Dancer,Pas de Nom
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Natalma,Native Dancer,Almahmoud
Pas de Nom,Admiral's Voyage,Petitioner
Admiral's Voyage,Crafty Admiral,Olympia Lou
Petitioner,Petition,Steady Aim
Graceful Touch,His Majesty,Pi Phi Gal
His Majesty,Ribot,Flower Bowl
Ribot,Tenerani,Romanella
Flower Bowl,Alibhai,Flower Bed
Pi Phi Gal,Raise a Native,Soaring
Raise a Native,Native Dancer,Raise You
Soaring,Swaps,Skylarking
