名前,父,母
ケイエスミラクル,Stutz Blackhawk,レディベンドフエイジヤー
Stutz Blackhawk,Mr. Prospector,Sunny Morning
Mr. Prospector,Raise a Native,Gold Digger
Raise a Native,Native Dancer,Raise You
Native Dancer,Polynesian,Geisha
Raise You,Case Ace,Lady Glory
Gold Digger,Nashua,Sequence
Nashua,Nasrullah,Segula
Sequence,Count Fleet,Miss Dogwood
Sunny Morning,Amber Morn,Lighter
Amber Morn,Ambiorix,Break o'Morn
Ambiorix,Tourbillon,Lavendula
Break o'Morn,Eight Thirty,Good Morning
Lighter,Coastal Traffic,Blue Denim
Coastal Traffic,Hyperion,Rose of England
Blue Denim,Blue Larkspur,Judy O'Grady
レディベンドフエイジヤー,Never Bend,Princess Fager
Never Bend,Nasrullah,Lalun
Nasrullah,Nearco,Mumtaz Begum
Nearco,Pharos,Nogara
Mumtaz Begum,Blenheim,Mumtaz Mahal
Lalun,Djeddah,Be Faithful
Djeddah,Djebel,Djezima
Be Faithful,Bimelech,Bloodroot
Princess Fager,Dr. Fager,Princess Roycraft
Dr. Fager,Rough'n Tumble,Aspidistra
Rough'n Tumble,Free For All,Roused
Aspidistra,Better Self,Tilly Rose
Princess Roycraft,Royal Note,Crafty Princess
Royal Note,Spy Song,Penroyal
Crafty Princess,Crafty Admiral,Adjournment
