名前,父,母
コパノリッキー,ゴールドアリュール,コパノニキータ
ゴールドアリュール,サンデーサイレンス,ニキーヤ
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Cosmah,Cosmic Bomb,Almahmoud
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Mountain Flower,Montparnasse,Edelweiss
ニキーヤ,Nureyev,Reluctant Guest
Nureyev,Northern Dancer,Special
Northern Dancer,Nearctic,Natalma
Special,Forli,Thong
Reluctant Guest,Hostage,Vaguely Royal
Hostage,Nijinsky,Entente
Vaguely Royal,Vaguely Noble,Shoshanna
コパノニキータ,ティンバーカントリー,ニホンピロローズ
ティンバーカントリー,Woodman,Fall Aspen
Woodman,Mr. Prospector,プレイメイト
Mr. Prospector,Raise a Native,Gold Digger
プレイメイト,Buckpasser,Intriguing
Fall Aspen,Pretense,Change Water
Pretense,Endeavour,Imitation
Change Water,Swaps,Portage
ニホンピロローズ,トニービン,ウェディングブーケ
トニービン,カンパラ,Severn Bridge
カンパラ,Kalamoun,State Pension
Severn Bridge,Hornbeam,Priddy Fair
ウェディングブーケ,リアルシャダイ,アリーウイン
リアルシャダイ,Roberto,Desert Vixen
アリーウイン,Alydar,Fleet Victress
