名前,父,母
サクラチトセオー,トニービン,サクラクレアー
トニービン,カンパラ,Severn Bridge
カンパラ,Kalamoun,State Pension
Kalamoun,ゼダーン,Khairunissa
ゼダーン,Grey Sovereign,Vareta
Khairunissa,Prince Bio,Palariva
State Pension,オンリーフォアライフ,Lorelei
オンリーフォアライフ,Chanteur,Life Sentence
Lorelei,Prince Chevalier,Rock Goddess
Severn Bridge,Hornbeam,Priddy Fair
Hornbeam,Hyperion,Thicket
Hyperion,Gainsborough,Selene
Thicket,Nasrullah,Thorn Wood
Priddy Fair,Preciptic,Campanette
Preciptic,Precipitation,Artistic
Campanette,Fair Trial,Calluna
サクラクレアー,ノーザンテースト,クレアーブリッジ
ノーザンテースト,Northern Dancer,Lady Victoria
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Natalma,Native Dancer,Almahmoud
Lady Victoria,Victoria Park,Lady Angela
Victoria Park,Chop Chop,Victoriana
Lady Angela,Hyperion,Sister Sarah
クレアーブリッジ,Quadrangle,Abeyance Lass
Quadrangle,Cohoes,Tap Day
Cohoes,Mahmoud,Belle of Troy
Tap Day,Bull Lea,Scurry
Abeyance Lass,Ambiorix,Vulcania
Ambiorix,Tourbillon,Lavendula
Vulcania,Some Chance,Vagrancy
