名前,父,母
サクラチヨノオー,マルゼンスキー,サクラセダン
マルゼンスキー,Nijinsky,シル
Nijinsky,Northern Dancer,Flaming Page
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Natalma,Native Dancer,Almahmoud
Flaming Page,Bull Page,Flaring Top
Bull Page,Bull Lea,Our Page
Flaring Top,Menow,Flaming Top
シル,Buckpasser,Quill
Buckpasser,Tom Fool,Busanda
Tom Fool,Menow,Gaga
Busanda,War Admiral,Businesslike
Quill,Princequillo,Quick Touch
Princequillo,Prince Rose,Cosquilla
Quick Touch,Count Fleet,Alms
サクラセダン,セダン,スワンズウッドグローヴ
セダン,Prince Bio,Staffa
Prince Bio,Prince Rose,Biologie
Prince Rose,Rose Prince,Indolence
Biologie,Bacteriophage,Eponge
Staffa,Orsenigo,Signa
Orsenigo,Oleander,Ostana
Signa,Ortello,Superga
スワンズウッドグローヴ,Grey Sovereign,Fakhry
Grey Sovereign,Nasrullah,Kong
Nasrullah,Nearco,Mumtaz Begum
Kong,Baytown,Clang
Fakhry,Mahmoud,Fille de Salut
Mahmoud,Blenheim,Mah Mahal
Fille de Salut,Sansovino,Friar's Daughter
