名前,父,母
サクラバクシンオー,サクラユタカオー,サクラハゴロモ
サクラユタカオー,テスコボーイ,アンジェリカ
テスコボーイ,Princely Gift,Suncourt
Princely Gift,Nasrullah,Blue Gem
Nasrullah,Nearco,Mumtaz Begum
Blue Gem,Blue Peter,Sparkle
Suncourt,Hyperion,Inquisition
Hyperion,Gainsborough,Selene
Inquisition,Dastur,Jury
アンジェリカ,ネヴァービート,スターハイネス
ネヴァービート,Never Say Die,Bride Elect
Never Say Die,Nasrullah,Singing Grass
Bride Elect,Big Game,Netherton Maid
スターハイネス,ユアハイネス,スターロツチ
ユアハイネス,Chamossaire,Lady Grand
スターロツチ,ハロウエー,コロナ
サクラハゴロモ,ノーザンテースト,クリアアンバー
ノーザンテースト,Northern Dancer,Lady Victoria
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Natalma,Native Dancer,Almahmoud
Lady Victoria,Victoria Park,Lady Angela
Victoria Park,Chop Chop,Victoriana
Lady Angela,Hyperion,Sister Sarah
クリアアンバー,Ambiopoise,One Clear Call
Ambiopoise,Ambiorix,Bull Poise
Ambiorix,Tourbillon,Lavendula
Bull Poise,Bull Lea,Alpoise
One Clear Call,Gallant Man,Europa
Gallant Man,Migoli,Majideh
Europa,Bull Lea,Sicily
