名前,父,母
サムソンビッグ,サクラショウリ,シユンイチオーカン
サクラショウリ,パーソロン,シリネラ
パーソロン,Milesian,Paleo
Milesian,My Babu,Oatflake
My Babu,Djebel,Perfume
Oatflake,Coup de Lyon,Avena
Paleo,Pharis,Calonice
Pharis,Pharos,Carissima
Calonice,Abjer,Coronis
シリネラ,フォルティノ,Shirini
フォルティノ,Grey Sovereign,Ranavalo
Grey Sovereign,Nasrullah,Kong
Ranavalo,Relic,Navarra
Shirini,Tehran,Confection
Tehran,Bois Roussel,Stafaralla
Confection,Fun Fair,Choclo
シユンイチオーカン,フロリバンダ,フジカワ
フロリバンダ,Princely Gift,Astrentia
Princely Gift,Nasrullah,Blue Gem
Nasrullah,Nearco,Mumtaz Begum
Blue Gem,Blue Peter,Sparkle
Astrentia,Denturius,Aherlow Valley
Denturius,Gold Bridge,La Solfatara
Aherlow Valley,His Highness,Glen of Aherlow
フジカワ,チャイナロック,ツキカゲ
チャイナロック,Rockefella,May Wong
Rockefella,Hyperion,Rockfel
May Wong,Rustom Pasha,Wezzan
ツキカゲ,ヒンドスタン,イチジヨウ
ヒンドスタン,Bois Roussel,Sonibai
イチジヨウ,セフト,年藤
