名前,父,母
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Turn-to,Royal Charger,Source Sucree
Royal Charger,Nearco,Sun Princess
Source Sucree,Admiral Drake,Lavendula
Nothirdchance,Blue Swords,Galla Colors
Blue Swords,Blue Larkspur,Flaming Swords
Galla Colors,Sir Gallahad,Rouge et Noir
Cosmah,Cosmic Bomb,Almahmoud
Cosmic Bomb,Pharamond,Banish Fear
Pharamond,Phalaris,Selene
Banish Fear,Blue Larkspur,Herodiade
Almahmoud,Mahmoud,Arbitrator
Mahmoud,Blenheim,Mah Mahal
Arbitrator,Peace Chance,Mother Goose
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Promised Land,Palestinian,Mahmoudess
Palestinian,Sun Again,Dolly Whisk
Mahmoudess,Mahmoud,Forever Yours
Pretty Ways,Stymie,Pretty Jo
Stymie,Equestrian,Stop Watch
Pretty Jo,Bull Lea,Fib
Mountain Flower,Montparnasse,Edelweiss
Montparnasse,Gulf Stream,Mignon
Gulf Stream,Hyperion,Tide-way
Mignon,Fox Cub,Mi Condesa
Edelweiss,Hillary,Dowager
Hillary,Khaled,Snow Bunny
Dowager,Free France,Marcellina
