名前,父,母
シリウスシンボリ,モガミ,スイートエプソム
モガミ,Lyphard,ノーラック
Lyphard,Northern Dancer,Goofed
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Natalma,Native Dancer,Almahmoud
Goofed,Court Martial,Barra
Court Martial,Fair Trial,Instantaneous
Barra,Formor,La Favorite
ノーラック,Lucky Debonair,No Teasing
Lucky Debonair,Vertex,Fresh as Fresh
Vertex,The Rhymer,Kanace
Fresh as Fresh,Count Fleet,Airy
No Teasing,Palestinian,No Fiddling
Palestinian,Sun Again,Dolly Whisk
No Fiddling,King Cole,Big Hurry
スイートエプソム,パーソロン,シレトコ
パーソロン,Milesian,Paleo
Milesian,My Babu,Oatflake
My Babu,Djebel,Perfume
Oatflake,Coup de Lyon,Avena
Paleo,Pharis,Calonice
Pharis,Pharos,Carissima
Calonice,Abjer,Coronis
シレトコ,タカウォーク,Pochette
タカウォーク,Native Dancer,Ampola
Native Dancer,Polynesian,Geisha
Ampola,Pavot,Blue Denim
Pochette,Worden,Diplomatic Bag
Worden,Wild Risk,Sans Tares
Diplomatic Bag,Krakatao,Peace Terms
