名前,父,母
シンボリクリスエス,Kris S.,Tee Kay
Kris S.,Roberto,Sharp Queen
Roberto,Hail to Reason,Bramalea
Hail to Reason,Turn-to,Nothirdchance
Turn-to,Royal Charger,Source Sucree
Nothirdchance,Blue Swords,Galla Colors
Bramalea,Nashua,Rarelea
Nashua,Nasrullah,Segula
Rarelea,Bull Lea,Bleebok
Sharp Queen,Princequillo,Bridgework
Princequillo,Prince Rose,Cosquilla
Prince Rose,Rose Prince,Indolence
Cosquilla,Papyrus,Quick Thought
Bridgework,Occupy,Feale Bridge
Occupy,Bull Dog,Miss Bunting
Feale Bridge,Gold Bridge,Tolerate
Tee Kay,Gold Meridian,Tri Argo
Gold Meridian,Seattle Slew,Queen Louie
Seattle Slew,Bold Reasoning,My Charmer
Bold Reasoning,Boldnesian,Reason to Earn
My Charmer,Poker,Fair Charmer
Queen Louie,Crimson Satan,Reagent
Crimson Satan,Spy Song,Papila
Reagent,Rasper,Albany Isle
Tri Argo,Tri Jet,Hail Proudly
Tri Jet,Jester,Haze
Jester,Tom Fool,Golden Apple
Haze,Olympia,Blue Castle
Hail Proudly,Francis S.,Spanglet
Francis S.,Royal Charger,Blue Eyed Momo
Spanglet,Alibhai,Flawless Pearl
