名前,父,母
シーザリオ,スペシャルウィーク,キロフプリミエール
スペシャルウィーク,サンデーサイレンス,キャンペンガール
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Cosmah,Cosmic Bomb,Almahmoud
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Mountain Flower,Montparnasse,Edelweiss
キャンペンガール,マルゼンスキー,レディーシラオキ
マルゼンスキー,Nijinsky,シル
Nijinsky,Northern Dancer,Flaming Page
シル,Buckpasser,Quill
レディーシラオキ,セントクレスピン,ミスアシヤガワ
セントクレスピン,Aureole,Neocracy
ミスアシヤガワ,ヒンドスタン,シラオキ
キロフプリミエール,Sadler's Wells,Querida
Sadler's Wells,Northern Dancer,Fairy Bridge
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Natalma,Native Dancer,Almahmoud
Fairy Bridge,Bold Reason,Special
Bold Reason,Hail to Reason,Lalun
Special,Forli,Thong
Querida,Habitat,Principia
Habitat,Sir Gaylord,Little Hut
Sir Gaylord,Turn-to,Somethingroyal
Little Hut,Occupy,Savage Beauty
Principia,Le Fabuleux,Pia
Le Fabuleux,Wild Risk,Anguar
Pia,Darius,Peseta
