名前,父,母
ジャングルポケット,トニービン,ダンスチャーマー
トニービン,カンパラ,Severn Bridge
カンパラ,Kalamoun,State Pension
Kalamoun,ゼダーン,Khairunissa
ゼダーン,Grey Sovereign,Vareta
Khairunissa,Prince Bio,Palariva
State Pension,オンリーフォアライフ,Lorelei
オンリーフォアライフ,Chanteur,Life Sentence
Lorelei,Prince Chevalier,Rock Goddess
Severn Bridge,Hornbeam,Priddy Fair
Hornbeam,Hyperion,Thicket
Hyperion,Gainsborough,Selene
Thicket,Nasrullah,Thorn Wood
Priddy Fair,Preciptic,Campanette
Preciptic,Precipitation,Artistic
Campanette,Fair Trial,Calluna
ダンスチャーマー,Nureyev,Skillful Joy
Nureyev,Northern Dancer,Special
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Natalma,Native Dancer,Almahmoud
Special,Forli,Thong
Forli,Aristophanes,Trevisa
Thong,Nantallah,Rough Shod
Skillful Joy,Nodouble,Skillful Miss
Nodouble,Noholme,Abla-Jay
Noholme,Star Kingdom,Oceana
Abla-Jay,Double Jay,Ablamucha
Skillful Miss,Daryl's Joy,Poliniss
Daryl's Joy,Stunning,Rutha
Poliniss,Greek Game,Poloriot
