名前,父,母
スイープトウショウ,エンドスウィープ,タバサトウショウ
エンドスウィープ,フォーティナイナー,Broom Dance
フォーティナイナー,Mr. Prospector,File
Mr. Prospector,Raise a Native,Gold Digger
Raise a Native,Native Dancer,Raise You
Gold Digger,Nashua,Sequence
File,Tom Rolfe,Continue
Tom Rolfe,Ribot,Pocahontas
Continue,Double Jay,Courtesy
Broom Dance,Dance Spell,Witching Hour
Dance Spell,Northern Dancer,Obeah
Northern Dancer,Nearctic,Natalma
Obeah,Cyane,Book of Verse
Witching Hour,Thinking Cap,Enchanted Eve
Thinking Cap,Rosemont,Camargo
Enchanted Eve,Lovely Night,Poupee
タバサトウショウ,ダンシングブレーヴ,サマンサトウショウ
ダンシングブレーヴ,Lyphard,Navajo Princess
Lyphard,Northern Dancer,Goofed
Goofed,Court Martial,Barra
Navajo Princess,Drone,Olmec
Drone,Sir Gaylord,Cap and Bells
Olmec,Pago Pago,Chocolate Beau
サマンサトウショウ,トウショウボーイ,マーブルトウショウ
トウショウボーイ,テスコボーイ,ソシアルバターフライ
テスコボーイ,Princely Gift,Suncourt
ソシアルバターフライ,Your Host,Wisteria
マーブルトウショウ,ダンディルート,チヤイナトウショウ
ダンディルート,Luthier,Dentrelic
チヤイナトウショウ,チャイナロック,キラクハート
