名前,父,母
スペシャルウィーク,サンデーサイレンス,キャンペンガール
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Turn-to,Royal Charger,Source Sucree
Nothirdchance,Blue Swords,Galla Colors
Cosmah,Cosmic Bomb,Almahmoud
Cosmic Bomb,Pharamond,Banish Fear
Almahmoud,Mahmoud,Arbitrator
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Promised Land,Palestinian,Mahmoudess
Pretty Ways,Stymie,Pretty Jo
Mountain Flower,Montparnasse,Edelweiss
Montparnasse,Gulf Stream,Mignon
Edelweiss,Hillary,Dowager
キャンペンガール,マルゼンスキー,レディーシラオキ
マルゼンスキー,Nijinsky,シル
Nijinsky,Northern Dancer,Flaming Page
Northern Dancer,Nearctic,Natalma
Flaming Page,Bull Page,Flaring Top
シル,Buckpasser,Quill
Buckpasser,Tom Fool,Busanda
Quill,Princequillo,Quick Touch
レディーシラオキ,セントクレスピン,ミスアシヤガワ
セントクレスピン,Aureole,Neocracy
Aureole,Hyperion,Angelola
Neocracy,Nearco,Harina
ミスアシヤガワ,ヒンドスタン,シラオキ
ヒンドスタン,Bois Roussel,Sonibai
シラオキ,プリメロ,第弐スターカツプ
