名前,父,母
スーパークリーク,ノーアテンション,ナイスデイ
ノーアテンション,Green Dancer,No No Nanette
Green Dancer,Nijinsky,Green Valley
Nijinsky,Northern Dancer,Flaming Page
Northern Dancer,Nearctic,Natalma
Flaming Page,Bull Page,Flaring Top
Green Valley,Val de Loir,Sly Pola
Val de Loir,Vieux Manoir,Vali
Sly Pola,Spy Song,Ampola
No No Nanette,Sovereign Path,Nuclea
Sovereign Path,Grey Sovereign,Mountain Path
Grey Sovereign,Nasrullah,Kong
Mountain Path,Bobsleigh,Path of Peace
Nuclea,Orsini,Nixe
Orsini,Ticino,Oranien
Nixe,Arjaman,Nanon
ナイスデイ,インターメゾ,サチノヒメ
インターメゾ,Hornbeam,Plaza
Hornbeam,Hyperion,Thicket
Hyperion,Gainsborough,Selene
Thicket,Nasrullah,Thorn Wood
Plaza,Persian Gulf,Wild Success
Persian Gulf,Bahram,Double Life
Wild Success,Niccolo Dell'Arca,Lavinia
サチノヒメ,Sayajirao,セントマキシム
Sayajirao,Nearco,Rosy Legend
Nearco,Pharos,Nogara
Rosy Legend,Dark Legend,Rosy Cheeks
セントマキシム,Rockefella,Sou'wester
Rockefella,Hyperion,Rockfel
Sou'wester,Blue Peter,Bonnet
