名前,父,母
セントライト,ダイオライト,フリツパンシー
ダイオライト,Diophon,Needle Rock
Diophon,Grand Parade,Donnetta
Grand Parade,Orby,Grand Geraldine
Orby,Orme,Rhoda B.
Grand Geraldine,Desmond,Grand Marnier
Donnetta,Donovan,Rinovata
Donovan,Galopin,Mowerina
Rinovata,Wenlock,Traviata
Needle Rock,Rock Sand,Needlepoint
Rock Sand,Sainfoin,Roquebrune
Sainfoin,Springfield,Sanda
Roquebrune,St. Simon,St. Marguerite
Needlepoint,Isinglass,Etui
Isinglass,Isonomy,Dead Lock
Etui,Bread Knife,Pindi
フリツパンシー,Flamboyant,Slip
Flamboyant,Tracery,Simonath
Tracery,Rock Sand,Topiary
Topiary,Orme,Plaisanterie
Simonath,St. Simon,Philomath
St. Simon,Galopin,St. Angela
Philomath,Philammon,Chrysalis
Slip,Robert le Diable,Snip
Robert le Diable,Ayrshire,Rose Bay
Ayrshire,Hampton,Atalanta
Rose Bay,Melton,Rose of Lancaster
Snip,Donovan,Isabel
Isabel,Plebeian,Parma
