名前,父,母
ゼンノロブロイ,サンデーサイレンス,ローミンレイチェル
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Turn-to,Royal Charger,Source Sucree
Nothirdchance,Blue Swords,Galla Colors
Cosmah,Cosmic Bomb,Almahmoud
Cosmic Bomb,Pharamond,Banish Fear
Almahmoud,Mahmoud,Arbitrator
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Promised Land,Palestinian,Mahmoudess
Pretty Ways,Stymie,Pretty Jo
Mountain Flower,Montparnasse,Edelweiss
Montparnasse,Gulf Stream,Mignon
Edelweiss,Hillary,Dowager
ローミンレイチェル,マイニング,One Smart Lady
マイニング,Mr. Prospector,I Pass
Mr. Prospector,Raise a Native,Gold Digger
Raise a Native,Native Dancer,Raise You
Gold Digger,Nashua,Sequence
I Pass,Buckpasser,Impish
Buckpasser,Tom Fool,Busanda
Impish,Majestic Prince,Lady Be Good
One Smart Lady,Clever Trick,Pia's Lady
Clever Trick,Icecapade,Kankakee Miss
Icecapade,Nearctic,Shenanigans
Kankakee Miss,Better Bee,Golden Beach
Pia's Lady,Pia Star,Plucky Roman
Pia Star,Olympia,Inquisitive
Plucky Roman,Roman,Hasty Request
