名前,父,母
タイキシャトル,Devil's Bag,ウェルシュマフィン
Devil's Bag,Halo,Ballade
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Turn-to,Royal Charger,Source Sucree
Nothirdchance,Blue Swords,Galla Colors
Cosmah,Cosmic Bomb,Almahmoud
Cosmic Bomb,Pharamond,Banish Fear
Almahmoud,Mahmoud,Arbitrator
Ballade,Herbager,Miss Swapsco
Herbager,Vandale,Flagette
Vandale,Plassy,Vanille
Flagette,Escamillo,Fidgette
Miss Swapsco,Cohoes,Soaring
Cohoes,Mahmoud,Belle of Troy
Soaring,Swaps,Skylarking
ウェルシュマフィン,Caerleon,Muffitys
Caerleon,Nijinsky,Foreseer
Nijinsky,Northern Dancer,Flaming Page
Northern Dancer,Nearctic,Natalma
Flaming Page,Bull Page,Flaring Top
Foreseer,Round Table,Regal Gleam
Round Table,Princequillo,Knights Daughter
Regal Gleam,Hail to Reason,Miz Carol
Muffitys,Thatch,Contrail
Thatch,Forli,Thong
Forli,Aristophanes,Trevisa
Thong,Nantallah,Rough Shod
Contrail,Roan Rocket,Azurine
Roan Rocket,Buisson Ardent,Farandole
Azurine,Chamossaire,Blue Dun
