名前,父,母
タニノギムレット,ブライアンズタイム,タニノクリスタル
ブライアンズタイム,Roberto,Kelley's Day
Roberto,Hail to Reason,Bramalea
Hail to Reason,Turn-to,Nothirdchance
Turn-to,Royal Charger,Source Sucree
Nothirdchance,Blue Swords,Galla Colors
Bramalea,Nashua,Rarelea
Nashua,Nasrullah,Segula
Rarelea,Bull Lea,Bleebok
Kelley's Day,Graustark,Golden Trail
Graustark,Ribot,Flower Bowl
Ribot,Tenerani,Romanella
Flower Bowl,Alibhai,Flower Bed
Golden Trail,Hasty Road,Sunny Vale
Hasty Road,Roman,Traffic Court
Sunny Vale,Eight Thirty,Sun Mixa
タニノクリスタル,クリスタルパレス,タニノシーバード
クリスタルパレス,Caro,Hermieres
Caro,フォルティノ,Chambord
フォルティノ,Grey Sovereign,Ranavalo
Chambord,Chamossaire,Life Hill
Hermieres,Sicambre,Vieille Pierre
Sicambre,Prince Bio,Sif
Vieille Pierre,Blue Peter,Vieille Maison
タニノシーバード,Sea-Bird,Flaxen
Sea-Bird,Dan Cupid,Sicalade
Dan Cupid,Native Dancer,Vixenette
Sicalade,Sicambre,Marmelade
Flaxen,Graustark,Flavia
Flavia,Roman,Mbale
