名前,父,母
ツルマルツヨシ,シンボリルドルフ,スィートシエロ
シンボリルドルフ,パーソロン,スイートルナ
パーソロン,Milesian,Paleo
Milesian,My Babu,Oatflake
My Babu,Djebel,Perfume
Oatflake,Coup de Lyon,Avena
Paleo,Pharis,Calonice
Pharis,Pharos,Carissima
Calonice,Abjer,Coronis
スイートルナ,スピードシンボリ,ダンスタイム
スピードシンボリ,ロイヤルチャレンヂャー,スイートイン
ロイヤルチャレンヂャー,Royal Charger,Skerweather
スイートイン,ライジングライト,フィーナー
ダンスタイム,Palestine,Samaritaine
Palestine,Fair Trial,Una
Samaritaine,Maravedis,Sarita
スィートシエロ,Conquistador Cielo,Change Water
Conquistador Cielo,Mr. Prospector,K D Princess
Mr. Prospector,Raise a Native,Gold Digger
Raise a Native,Native Dancer,Raise You
Gold Digger,Nashua,Sequence
K D Princess,Bold Commander,タミーズターン
Bold Commander,Bold Ruler,High Voltage
タミーズターン,Turn-to,Tammy Twist
Change Water,Swaps,Portage
Swaps,Khaled,Iron Reward
Khaled,Hyperion,Eclair
Iron Reward,Beau Pere,Iron Maiden
Portage,War Admiral,Carillon
War Admiral,Man o'War,Brushup
Carillon,Case Ace,Sunfeathers
