名前,父,母
テイエムオペラオー,オペラハウス,ワンスウエド
オペラハウス,Sadler's Wells,Colorspin
Sadler's Wells,Northern Dancer,Fairy Bridge
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Natalma,Native Dancer,Almahmoud
Fairy Bridge,Bold Reason,Special
Bold Reason,Hail to Reason,Lalun
Special,Forli,Thong
Colorspin,High Top,Reprocolor
High Top,Derring-Do,Camenae
Derring-Do,Darius,Sipsey Bridge
Camenae,ヴィミー,Madrilene
Reprocolor,Jimmy Reppin,Blue Queen
Jimmy Reppin,Midsummer Night,Sweet Molly
Blue Queen,Majority Blue,Hill Queen
ワンスウエド,Blushing Groom,Noura
Blushing Groom,Red God,Runaway Bride
Red God,Nasrullah,Spring Run
Nasrullah,Nearco,Mumtaz Begum
Spring Run,Menow,Boola Brook
Runaway Bride,Wild Risk,Aimee
Wild Risk,Rialto,Wild Violet
Aimee,Tudor Minstrel,Emali
Noura,Key to the Kingdom,River Guide
Key to the Kingdom,Bold Ruler,Key Bridge
Bold Ruler,Nasrullah,Miss Disco
Key Bridge,Princequillo,Blue Banner
River Guide,Drone,Blue Canoe
Drone,Sir Gaylord,Cap and Bells
Blue Canoe,Jet Pilot,Portage
