名前,父,母
ディープインパクト,サンデーサイレンス,ウインドインハーヘア
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Turn-to,Royal Charger,Source Sucree
Nothirdchance,Blue Swords,Galla Colors
Cosmah,Cosmic Bomb,Almahmoud
Cosmic Bomb,Pharamond,Banish Fear
Almahmoud,Mahmoud,Arbitrator
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Promised Land,Palestinian,Mahmoudess
Pretty Ways,Stymie,Pretty Jo
Mountain Flower,Montparnasse,Edelweiss
Montparnasse,Gulf Stream,Mignon
Edelweiss,Hillary,Dowager
ウインドインハーヘア,Alzao,Burghclere
Alzao,Lyphard,Lady Rebecca
Lyphard,Northern Dancer,Goofed
Northern Dancer,Nearctic,Natalma
Goofed,Court Martial,Barra
Lady Rebecca,Sir Ivor,Pocahontas
Sir Ivor,Sir Gaylord,Attica
Pocahontas,Roman,How
Burghclere,Busted,Highclere
Busted,Crepello,Sans le Sou
Crepello,Donatello,Crepuscule
Sans le Sou,ヴィミー,Martial Loan
Highclere,Queen's Hussar,Highlight
Queen's Hussar,March Past,Jojo
Highlight,Borealis,Hypericum
