名前,父,母
デュランダル,サンデーサイレンス,サワヤカプリンセス
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Turn-to,Royal Charger,Source Sucree
Nothirdchance,Blue Swords,Galla Colors
Cosmah,Cosmic Bomb,Almahmoud
Cosmic Bomb,Pharamond,Banish Fear
Almahmoud,Mahmoud,Arbitrator
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Promised Land,Palestinian,Mahmoudess
Pretty Ways,Stymie,Pretty Jo
Mountain Flower,Montparnasse,Edelweiss
Montparnasse,Gulf Stream,Mignon
Edelweiss,Hillary,Dowager
サワヤカプリンセス,ノーザンテースト,スコッチプリンセス
ノーザンテースト,Northern Dancer,Lady Victoria
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Natalma,Native Dancer,Almahmoud
Lady Victoria,Victoria Park,Lady Angela
Victoria Park,Chop Chop,Victoriana
Lady Angela,Hyperion,Sister Sarah
スコッチプリンセス,Creme dela Creme,Meadow Saffron
Creme dela Creme,Olympia,Judy Rullah
Olympia,Heliopolis,Miss Dolphin
Judy Rullah,Nasrullah,Judy-Rae
Meadow Saffron,High Perch,Meadow Music
High Perch,Alycidon,Phaetonia
Meadow Music,Tom Fool,Miss Grillo
