名前,父,母
トーセンジョーダン,ジャングルポケット,エヴリウィスパー
ジャングルポケット,トニービン,ダンスチャーマー
トニービン,カンパラ,Severn Bridge
カンパラ,Kalamoun,State Pension
Kalamoun,ゼダーン,Khairunissa
State Pension,オンリーフォアライフ,Lorelei
Severn Bridge,Hornbeam,Priddy Fair
Hornbeam,Hyperion,Thicket
Priddy Fair,Preciptic,Campanette
ダンスチャーマー,Nureyev,Skillful Joy
Nureyev,Northern Dancer,Special
Northern Dancer,Nearctic,Natalma
Special,Forli,Thong
Skillful Joy,Nodouble,Skillful Miss
Nodouble,Noholme,Abla-Jay
Skillful Miss,Daryl's Joy,Poliniss
エヴリウィスパー,ノーザンテースト,クラフテイワイフ
ノーザンテースト,Northern Dancer,Lady Victoria
Nearctic,Nearco,Lady Angela
Natalma,Native Dancer,Almahmoud
Lady Victoria,Victoria Park,Lady Angela
Victoria Park,Chop Chop,Victoriana
Lady Angela,Hyperion,Sister Sarah
クラフテイワイフ,Crafty Prospector,Wife Mistress
Crafty Prospector,Mr. Prospector,Real Crafty Lady
Mr. Prospector,Raise a Native,Gold Digger
Real Crafty Lady,In Reality,Princess Roycraft
Wife Mistress,Secretariat,Political Payoff
Secretariat,Bold Ruler,Somethingroyal
Political Payoff,Buckpasser,Tiny Request
