名前,父,母
ナイスネイチャ,ナイスダンサー,ウラカワミユキ
ナイスダンサー,Northern Dancer,Nice Princess
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Nearco,Pharos,Nogara
Lady Angela,Hyperion,Sister Sarah
Natalma,Native Dancer,Almahmoud
Native Dancer,Polynesian,Geisha
Almahmoud,Mahmoud,Arbitrator
Nice Princess,Le Beau Prince,Happy Night
Le Beau Prince,Fontenay,Quillerie
Fontenay,Tornado,Flying Colours
Quillerie,Sultan Mahomed,Hotep Heres
Happy Night,Alizier,Happy Grace
Alizier,Teleferique,Alizarine
Happy Grace,His Grace,Happy Morn
ウラカワミユキ,ハビトニー,ケンマルミドリ
ハビトニー,Habitat,Courteous Lady
Habitat,Sir Gaylord,Little Hut
Sir Gaylord,Turn-to,Somethingroyal
Little Hut,Occupy,Savage Beauty
Courteous Lady,Gallant Man,Fleurlea
Gallant Man,Migoli,Majideh
Fleurlea,Bull Lea,Blue Lily
ケンマルミドリ,ケンマルチカラ,ケンミドリ
ケンマルチカラ,ヒンドスタン,ミカヅキ
ヒンドスタン,Bois Roussel,Sonibai
ミカヅキ,月友,ペツトクヰン
ケンミドリ,ガーサント,ヴエルヴエツト
ガーサント,Bubbles,Montagnana
ヴエルヴエツト,ニンバス,Veleta
