名前,父,母
ナリタタイシン,リヴリア,タイシンリリィ
リヴリア,Riverman,Dahlia
Riverman,Never Bend,River Lady
Never Bend,Nasrullah,Lalun
Nasrullah,Nearco,Mumtaz Begum
Lalun,Djeddah,Be Faithful
River Lady,Prince John,Nile Lily
Prince John,Princequillo,Not Afraid
Nile Lily,Roman,Azalea
Dahlia,Vaguely Noble,Charming Alibi
Vaguely Noble,ヴィエナ,Noble Lassie
ヴィエナ,Aureole,Turkish Blood
Noble Lassie,Nearco,Belle Sauvage
Charming Alibi,Honeys Alibi,Adorada
Honeys Alibi,Alibhai,Honeymoon
Adorada,Hierocles,Gilded Wave
タイシンリリィ,ラディガ,インターラーケン
ラディガ,Graustark,Celia
Graustark,Ribot,Flower Bowl
Ribot,Tenerani,Romanella
Flower Bowl,Alibhai,Flower Bed
Celia,Swaps,Pocahontas
Swaps,Khaled,Iron Reward
Pocahontas,Roman,How
インターラーケン,サミーデイヴィス,シルヴアーファー
サミーデイヴィス,Whistler,Samaria
Whistler,Panorama,Farthing Damages
Samaria,Migoli,Sarie
シルヴアーファー,Abernant,Moyo
Abernant,Owen Tudor,Rustom Mahal
Moyo,Tourment,Fragrant Nymph
