名前,父,母
ナリタブライアン,ブライアンズタイム,パシフィカス
ブライアンズタイム,Roberto,Kelley's Day
Roberto,Hail to Reason,Bramalea
Hail to Reason,Turn-to,Nothirdchance
Turn-to,Royal Charger,Source Sucree
Nothirdchance,Blue Swords,Galla Colors
Bramalea,Nashua,Rarelea
Nashua,Nasrullah,Segula
Rarelea,Bull Lea,Bleebok
Kelley's Day,Graustark,Golden Trail
Graustark,Ribot,Flower Bowl
Ribot,Tenerani,Romanella
Flower Bowl,Alibhai,Flower Bed
Golden Trail,Hasty Road,Sunny Vale
Hasty Road,Roman,Traffic Court
Sunny Vale,Eight Thirty,Sun Mixa
パシフィカス,Northern Dancer,Pacific Princess
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Nearco,Pharos,Nogara
Lady Angela,Hyperion,Sister Sarah
Natalma,Native Dancer,Almahmoud
Native Dancer,Polynesian,Geisha
Almahmoud,Mahmoud,Arbitrator
Pacific Princess,Damascus,Fiji
Damascus,Sword Dancer,Kerala
Sword Dancer,Sunglow,Highland Fling
Kerala,My Babu,Blade of Time
Fiji,Acropolis,Rififi
Acropolis,Donatello,Aurora
Rififi,Mossborough,Khanum
