名前,父,母
ニシノカグラの2024,タニノフランケル,ニシノカグラ
タニノフランケル,Frankel,ウオッカ
Frankel,Galileo,Kind
Galileo,Sadler's Wells,Urban Sea
Sadler's Wells,Northern Dancer,Fairy Bridge
Urban Sea,Miswaki,Allegretta
Kind,デインヒル,Rainbow Lake
デインヒル,Danzig,Razyana
Rainbow Lake,Rainbow Quest,Rockfest
ウオッカ,タニノギムレット,タニノシスター
タニノギムレット,ブライアンズタイム,タニノクリスタル
ブライアンズタイム,Roberto,Kelley's Day
タニノクリスタル,クリスタルパレス,タニノシーバード
タニノシスター,ルション,エナジートウショウ
ルション,Riverman,ベルドリーヌ
エナジートウショウ,トウショウボーイ,コーニストウショウ
ニシノカグラ,エピファネイア,ニシノマメユリ
エピファネイア,シンボリクリスエス,シーザリオ
シンボリクリスエス,Kris S.,Tee Kay
Kris S.,Roberto,Sharp Queen
Tee Kay,Gold Meridian,Tri Argo
シーザリオ,スペシャルウィーク,キロフプリミエール
スペシャルウィーク,サンデーサイレンス,キャンペンガール
キロフプリミエール,Sadler's Wells,Querida
ニシノマメユリ,キングカメハメハ,メジロルルド
キングカメハメハ,Kingmambo,マンファス
Kingmambo,Mr. Prospector,Miesque
マンファス,ラストタイクーン,Pilot Bird
メジロルルド,サンデーサイレンス,メジロドーベル
サンデーサイレンス,Halo,Wishing Well
メジロドーベル,メジロライアン,メジロビューティー
