名前,父,母
ネオユニヴァース,サンデーサイレンス,ポインテッドパス
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Turn-to,Royal Charger,Source Sucree
Nothirdchance,Blue Swords,Galla Colors
Cosmah,Cosmic Bomb,Almahmoud
Cosmic Bomb,Pharamond,Banish Fear
Almahmoud,Mahmoud,Arbitrator
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Promised Land,Palestinian,Mahmoudess
Pretty Ways,Stymie,Pretty Jo
Mountain Flower,Montparnasse,Edelweiss
Montparnasse,Gulf Stream,Mignon
Edelweiss,Hillary,Dowager
ポインテッドパス,Kris,Silken Way
Kris,Sharpen Up,Doubly Sure
Sharpen Up,エタン,Rocchetta
エタン,Native Dancer,Mixed Marriage
Rocchetta,Rockefella,Chambiges
Doubly Sure,Reliance,Soft Angels
Reliance,Tantieme,Relance
Soft Angels,Crepello,Sweet Angel
Silken Way,Shantung,Boulevard
Shantung,Sicambre,Barley Corn
Sicambre,Prince Bio,Sif
Barley Corn,Hyperion,Schiaparelli
Boulevard,Pall Mall,Costa Sola
Pall Mall,Palestine,Malapert
Costa Sola,Worden,Sunny Cove
