名前,父,母
ノーザンテースト,Northern Dancer,Lady Victoria
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Nearco,Pharos,Nogara
Pharos,Phalaris,Scapa Flow
Nogara,Havresac,Catnip
Lady Angela,Hyperion,Sister Sarah
Hyperion,Gainsborough,Selene
Sister Sarah,Abbots Trace,Sarita
Natalma,Native Dancer,Almahmoud
Native Dancer,Polynesian,Geisha
Polynesian,Unbreakable,Black Polly
Geisha,Discovery,Miyako
Almahmoud,Mahmoud,Arbitrator
Mahmoud,Blenheim,Mah Mahal
Arbitrator,Peace Chance,Mother Goose
Lady Victoria,Victoria Park,Lady Angela
Victoria Park,Chop Chop,Victoriana
Chop Chop,Flares,Sceptical
Flares,Gallant Fox,Flambino
Sceptical,Buchan,Clodagh
Victoriana,Windfields,Iribelle
Windfields,Bunty Lawless,Nandi
Iribelle,Osiris,Belmona
Gainsborough,Bayardo,Rosedrop
Selene,Chaucer,Serenissima
Abbots Trace,Tracery,Abbots Anne
Sarita,Swynford,Molly Desmond
