名前,父,母
ハルウララ,ニッポーテイオー,ヒロイン
ニッポーテイオー,リィフォー,チヨダマサコ
リィフォー,Lyphard,Klaizia
Lyphard,Northern Dancer,Goofed
Northern Dancer,Nearctic,Natalma
Goofed,Court Martial,Barra
Klaizia,Sing Sing,Klainia
Sing Sing,Tudor Minstrel,Agin the Law
Klainia,Klairon,Kalitka
チヨダマサコ,ラバージョン,ミスオーハヤブサ
ラバージョン,Damascus,Evening Primrose
Damascus,Sword Dancer,Kerala
Evening Primrose,Nashua,Blue Grotto
ミスオーハヤブサ,パーソロン,ワールドハヤブサ
パーソロン,Milesian,Paleo
ワールドハヤブサ,ダイハード,オーハヤブサ
ヒロイン,ラッキーソブリン,ピアレスレデイ
ラッキーソブリン,Nijinsky,Sovereign
Nijinsky,Northern Dancer,Flaming Page
Flaming Page,Bull Page,Flaring Top
Sovereign,Pardao,Urshalim
Pardao,Pardal,Three Weeks
Urshalim,Nasrullah,Horama
ピアレスレデイ,テスコボーイ,イーストサイド
テスコボーイ,Princely Gift,Suncourt
Princely Gift,Nasrullah,Blue Gem
Suncourt,Hyperion,Inquisition
イーストサイド,パーソロン,ミスハクリュウ
ミスハクリュウ,カネリュー,第三オールスクエーア
