名前,父,母
バブルガムフェロー,サンデーサイレンス,バブルカンパニー
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Turn-to,Royal Charger,Source Sucree
Nothirdchance,Blue Swords,Galla Colors
Cosmah,Cosmic Bomb,Almahmoud
Cosmic Bomb,Pharamond,Banish Fear
Almahmoud,Mahmoud,Arbitrator
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Promised Land,Palestinian,Mahmoudess
Pretty Ways,Stymie,Pretty Jo
Mountain Flower,Montparnasse,Edelweiss
Montparnasse,Gulf Stream,Mignon
Edelweiss,Hillary,Dowager
バブルカンパニー,Lyphard,Prodice
Lyphard,Northern Dancer,Goofed
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Natalma,Native Dancer,Almahmoud
Goofed,Court Martial,Barra
Court Martial,Fair Trial,Instantaneous
Barra,Formor,La Favorite
Prodice,Prominer,Euridice
Prominer,Beau Sabreur,Snob Hill
Beau Sabreur,His Highness,Mashaq
Snob Hill,Rockefella,Rossenhall
Euridice,Tabriz,Euroclydon
Tabriz,Tehran,La Li
Euroclydon,Tourbillon,Astaria
