名前,父,母
バンブーメモリー,モーニングフローリック,マドンナバンブー
モーニングフローリック,Grey Dawn,Timely Affair
Grey Dawn,Herbager,Polamia
Herbager,Vandale,Flagette
Vandale,Plassy,Vanille
Flagette,Escamillo,Fidgette
Polamia,Mahmoud,Ampola
Mahmoud,Blenheim,Mah Mahal
Ampola,Pavot,Blue Denim
Timely Affair,Bold Hour,Friendly Relations
Bold Hour,Bold Ruler,Seven Thirty
Bold Ruler,Nasrullah,Miss Disco
Seven Thirty,Mr. Music,Time to Dine
Friendly Relations,Nearctic,Flaring Top
Nearctic,Nearco,Lady Angela
Flaring Top,Menow,Flaming Top
マドンナバンブー,モバリッズ,ニンバスバンブー
モバリッズ,Sing Sing,Musaka
Sing Sing,Tudor Minstrel,Agin the Law
Tudor Minstrel,Owen Tudor,Sansonnet
Agin the Law,Portlaw,Revolte
Musaka,Guard's Tie,アーテミサ
Guard's Tie,Alizier,Noria
アーテミサ,Fair Trial,Escasida
ニンバスバンブー,ニンバス,ヤシマテンプル
ニンバス,Nearco,Kong
Nearco,Pharos,Nogara
Kong,Baytown,Clang
ヤシマテンプル,セフト,神正
セフト,Tetratema,Voleuse
神正,ダイオライト,種正
