名前,父,母
ヒシアマゾン,Theatrical,Katies
Theatrical,Nureyev,ツリーオブノレッジ
Nureyev,Northern Dancer,Special
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Natalma,Native Dancer,Almahmoud
Special,Forli,Thong
Forli,Aristophanes,Trevisa
Thong,Nantallah,Rough Shod
ツリーオブノレッジ,Sassafras,Sensibility
Sassafras,Sheshoon,Ruta
Sheshoon,Precipitation,Noorani
Ruta,ラティフィケイション,Dame d'Atour
Sensibility,Hail to Reason,Pange
Hail to Reason,Turn-to,Nothirdchance
Pange,キングスベンチ,York Gala
Katies,ノノアルコ,Mortefontaine
ノノアルコ,Nearctic,Seximee
Nearco,Pharos,Nogara
Lady Angela,Hyperion,Sister Sarah
Seximee,Hasty Road,Jambo
Hasty Road,Roman,Traffic Court
Jambo,Crafty Admiral,Bank Account
Mortefontaine,ポリック,Brabantia
ポリック,Relic,Polaire
Relic,War Relic,Bridal Colors
Polaire,Le Volcan,Stella Polaris
Brabantia,Honeyway,Porthaven
Honeyway,Fairway,Honey Buzzard
Porthaven,Portlaw,Peaceful Light
