名前,父,母
ビターグラッセ,ルーラーシップ,アンソロジー
ルーラーシップ,キングカメハメハ,エアグルーヴ
キングカメハメハ,Kingmambo,マンファス
Kingmambo,Mr. Prospector,Miesque
Mr. Prospector,Raise a Native,Gold Digger
Miesque,Nureyev,Pasadoble
マンファス,ラストタイクーン,Pilot Bird
ラストタイクーン,トライマイベスト,Mill Princess
Pilot Bird,Blakeney,The Dancer
エアグルーヴ,トニービン,ダイナカール
トニービン,カンパラ,Severn Bridge
カンパラ,Kalamoun,State Pension
Severn Bridge,Hornbeam,Priddy Fair
ダイナカール,ノーザンテースト,シャダイフェザー
ノーザンテースト,Northern Dancer,Lady Victoria
シャダイフェザー,ガーサント,パロクサイド
アンソロジー,サクラバクシンオー,ポップス
サクラバクシンオー,サクラユタカオー,サクラハゴロモ
サクラユタカオー,テスコボーイ,アンジェリカ
テスコボーイ,Princely Gift,Suncourt
アンジェリカ,ネヴァービート,スターハイネス
サクラハゴロモ,ノーザンテースト,クリアアンバー
クリアアンバー,Ambiopoise,One Clear Call
ポップス,サンデーサイレンス,ポップシンガー
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Wishing Well,Understanding,Mountain Flower
ポップシンガー,Secretariat,Icy Pop
Secretariat,Bold Ruler,Somethingroyal
Icy Pop,Icecapade,Calaki
