名前,父,母
フサイチパンドラ,サンデーサイレンス,ロッタレース
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Turn-to,Royal Charger,Source Sucree
Nothirdchance,Blue Swords,Galla Colors
Cosmah,Cosmic Bomb,Almahmoud
Cosmic Bomb,Pharamond,Banish Fear
Almahmoud,Mahmoud,Arbitrator
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Promised Land,Palestinian,Mahmoudess
Pretty Ways,Stymie,Pretty Jo
Mountain Flower,Montparnasse,Edelweiss
Montparnasse,Gulf Stream,Mignon
Edelweiss,Hillary,Dowager
ロッタレース,Nureyev,Sex Appeal
Nureyev,Northern Dancer,Special
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Natalma,Native Dancer,Almahmoud
Special,Forli,Thong
Forli,Aristophanes,Trevisa
Thong,Nantallah,Rough Shod
Sex Appeal,Buckpasser,Best in Show
Buckpasser,Tom Fool,Busanda
Tom Fool,Menow,Gaga
Busanda,War Admiral,Businesslike
Best in Show,Traffic Judge,Stolen Hour
Traffic Judge,Alibhai,Traffic Court
Stolen Hour,Mr. Busher,Late Date
