名前,父,母
フリオーソ,ブライアンズタイム,ファーザ
ブライアンズタイム,Roberto,Kelley's Day
Roberto,Hail to Reason,Bramalea
Hail to Reason,Turn-to,Nothirdchance
Turn-to,Royal Charger,Source Sucree
Nothirdchance,Blue Swords,Galla Colors
Bramalea,Nashua,Rarelea
Nashua,Nasrullah,Segula
Rarelea,Bull Lea,Bleebok
Kelley's Day,Graustark,Golden Trail
Graustark,Ribot,Flower Bowl
Ribot,Tenerani,Romanella
Flower Bowl,Alibhai,Flower Bed
Golden Trail,Hasty Road,Sunny Vale
Hasty Road,Roman,Traffic Court
Sunny Vale,Eight Thirty,Sun Mixa
ファーザ,Mr. Prospector,Baya
Mr. Prospector,Raise a Native,Gold Digger
Raise a Native,Native Dancer,Raise You
Native Dancer,Polynesian,Geisha
Raise You,Case Ace,Lady Glory
Gold Digger,Nashua,Sequence
Sequence,Count Fleet,Miss Dogwood
Baya,Nureyev,Barger
Nureyev,Northern Dancer,Special
Northern Dancer,Nearctic,Natalma
Special,Forli,Thong
Barger,Riverman,Trillion
Riverman,Never Bend,River Lady
Trillion,Hail to Reason,Margarethen
