名前,父,母
ブライアンズタイム,Roberto,Kelley's Day
Roberto,Hail to Reason,Bramalea
Hail to Reason,Turn-to,Nothirdchance
Turn-to,Royal Charger,Source Sucree
Royal Charger,Nearco,Sun Princess
Source Sucree,Admiral Drake,Lavendula
Nothirdchance,Blue Swords,Galla Colors
Blue Swords,Blue Larkspur,Flaming Swords
Galla Colors,Sir Gallahad,Rouge et Noir
Bramalea,Nashua,Rarelea
Nashua,Nasrullah,Segula
Nasrullah,Nearco,Mumtaz Begum
Segula,Johnstown,Sekhmet
Rarelea,Bull Lea,Bleebok
Bull Lea,Bull Dog,Rose Leaves
Bleebok,Blue Larkspur,Forteresse
Kelley's Day,Graustark,Golden Trail
Graustark,Ribot,Flower Bowl
Ribot,Tenerani,Romanella
Tenerani,Bellini,Tofanella
Romanella,El Greco,Barbara Burrini
Flower Bowl,Alibhai,Flower Bed
Alibhai,Hyperion,Teresina
Flower Bed,Beau Pere,Boudoir
Golden Trail,Hasty Road,Sunny Vale
Hasty Road,Roman,Traffic Court
Roman,Sir Gallahad,Buckup
Traffic Court,Discovery,Traffic
Sunny Vale,Eight Thirty,Sun Mixa
Eight Thirty,Pilate,Dinner Time
Sun Mixa,Sun Briar,Comixa
