名前,父,母
マスターフェンサー,ジャスタウェイ,セクシーザムライ
ジャスタウェイ,ハーツクライ,シビル
ハーツクライ,サンデーサイレンス,アイリッシュダンス
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Wishing Well,Understanding,Mountain Flower
アイリッシュダンス,トニービン,ビューパーダンス
トニービン,カンパラ,Severn Bridge
ビューパーダンス,Lyphard,My Bupers
シビル,Wild Again,シャロン
Wild Again,Icecapade,Bushel-n-Peck
Icecapade,Nearctic,Shenanigans
Bushel-n-Peck,Khaled,Dama
シャロン,Mo Exception,Double Wiggle
Mo Exception,Hard Work,With Exception
Double Wiggle,Sir Wiggle,Blue Double
セクシーザムライ,Deputy Minister,Powder
Deputy Minister,Vice Regent,Mint Copy
Vice Regent,Northern Dancer,Victoria Regina
Northern Dancer,Nearctic,Natalma
Victoria Regina,Menetrier,Victoriana
Mint Copy,Bunty's Flight,Shakney
Bunty's Flight,Bunty Lawless,Broomflight
Shakney,Jabneh,Grass Shack
Powder,Broad Brush,Charette
Broad Brush,Ack Ack,Hay Patcher
Ack Ack,Battle Joined,Fast Turn
Hay Patcher,Hoist the Flag,Turn to Talent
Charette,Chief's Crown,Northern Sunset
Chief's Crown,Danzig,Six Crowns
Northern Sunset,Northfields,Moss Greine
