名前,父,母
マチカネタンホイザ,ノーザンテースト,クリプシー
ノーザンテースト,Northern Dancer,Lady Victoria
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Nearco,Pharos,Nogara
Lady Angela,Hyperion,Sister Sarah
Natalma,Native Dancer,Almahmoud
Native Dancer,Polynesian,Geisha
Almahmoud,Mahmoud,Arbitrator
Lady Victoria,Victoria Park,Lady Angela
Victoria Park,Chop Chop,Victoriana
Chop Chop,Flares,Sceptical
Victoriana,Windfields,Iribelle
Hyperion,Gainsborough,Selene
Sister Sarah,Abbots Trace,Sarita
クリプシー,アローエクスプレス,モンタロッチ
アローエクスプレス,スパニッシュイクスプレス,ソーダストリーム
スパニッシュイクスプレス,Sovereign Path,Sage Femme
Sovereign Path,Grey Sovereign,Mountain Path
Sage Femme,Le Sage,Sylvia's Grove
ソーダストリーム,Airborne,Pangani
Airborne,Precipitation,Bouquet
Pangani,Fair Trial,Clovelly
モンタロッチ,モンタヴァル,スターロツチ
モンタヴァル,Norseman,Ballynash
Norseman,Umidwar,Tara
Ballynash,Nasrullah,Ballywellbroke
スターロツチ,ハロウエー,コロナ
ハロウエー,Fairway,Rosy Legend
コロナ,月友,秀節
