名前,父,母
マチカネフクキタル,クリスタルグリッターズ,アテナトウショウ
クリスタルグリッターズ,Blushing Groom,Tales to Tell
Blushing Groom,Red God,Runaway Bride
Red God,Nasrullah,Spring Run
Nasrullah,Nearco,Mumtaz Begum
Spring Run,Menow,Boola Brook
Runaway Bride,Wild Risk,Aimee
Wild Risk,Rialto,Wild Violet
Aimee,Tudor Minstrel,Emali
Tales to Tell,Donut King,Fleeting Doll
Donut King,Determine,Strayed
Determine,Alibhai,Koubis
Strayed,Bull Dog,Misleading
Fleeting Doll,Fleet Nasrullah,Chinese Doll
Fleet Nasrullah,Nasrullah,Happy Go Fleet
Chinese Doll,Silver Horde,Chinese Sis
アテナトウショウ,トウショウボーイ,グレイトウショウ
トウショウボーイ,テスコボーイ,ソシアルバターフライ
テスコボーイ,Princely Gift,Suncourt
Princely Gift,Nasrullah,Blue Gem
Suncourt,Hyperion,Inquisition
ソシアルバターフライ,Your Host,Wisteria
Your Host,Alibhai,Boudoir
Wisteria,Easton,Blue Cyprus
グレイトウショウ,シルバーシャーク,ローズトウショウ
シルバーシャーク,Buisson Ardent,Palsaka
Buisson Ardent,Relic,Rose O'Lynn
Palsaka,Palestine,Masaka
ローズトウショウ,テューダーペリオッド,ワカシラオキ
テューダーペリオッド,Owen Tudor,Cornice
ワカシラオキ,ソロナウェー,シラオキ
