名前,父,母
マルゼンスキー,Nijinsky,シル
Nijinsky,Northern Dancer,Flaming Page
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Nearco,Pharos,Nogara
Lady Angela,Hyperion,Sister Sarah
Natalma,Native Dancer,Almahmoud
Native Dancer,Polynesian,Geisha
Almahmoud,Mahmoud,Arbitrator
Flaming Page,Bull Page,Flaring Top
Bull Page,Bull Lea,Our Page
Bull Lea,Bull Dog,Rose Leaves
Our Page,Blue Larkspur,Occult
Flaring Top,Menow,Flaming Top
Menow,Pharamond,Alcibiades
Flaming Top,Omaha,Firetop
シル,Buckpasser,Quill
Buckpasser,Tom Fool,Busanda
Tom Fool,Menow,Gaga
Gaga,Bull Dog,Alpoise
Busanda,War Admiral,Businesslike
War Admiral,Man o'War,Brushup
Businesslike,Blue Larkspur,La Troienne
Quill,Princequillo,Quick Touch
Princequillo,Prince Rose,Cosquilla
Prince Rose,Rose Prince,Indolence
Cosquilla,Papyrus,Quick Thought
Quick Touch,Count Fleet,Alms
Count Fleet,Reigh Count,Quickly
Alms,St. Brideaux,Bonus
