名前,父,母
マンハッタンカフェ,サンデーサイレンス,サトルチェンジ
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Turn-to,Royal Charger,Source Sucree
Nothirdchance,Blue Swords,Galla Colors
Cosmah,Cosmic Bomb,Almahmoud
Cosmic Bomb,Pharamond,Banish Fear
Almahmoud,Mahmoud,Arbitrator
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Promised Land,Palestinian,Mahmoudess
Pretty Ways,Stymie,Pretty Jo
Mountain Flower,Montparnasse,Edelweiss
Montparnasse,Gulf Stream,Mignon
Edelweiss,Hillary,Dowager
サトルチェンジ,Law Society,Santa Luciana
Law Society,Alleged,Bold Bikini
Alleged,Hoist the Flag,Princess Pout
Hoist the Flag,Tom Rolfe,Wavy Navy
Princess Pout,Prince John,Determined Lady
Bold Bikini,Boldnesian,Ran-Tan
Boldnesian,Bold Ruler,Alanesian
Ran-Tan,Summer Tan,Mehrabi
Santa Luciana,Luciano,Suleika
Luciano,Henry the Seventh,Light Arctic
Henry the Seventh,King of the Tudors,Vestal Girl
Light Arctic,Arctic Prince,Incandescent
Suleika,Ticino,Schwarzblaurot
Ticino,Athanasius,Terra
Schwarzblaurot,Magnat,Schwarzgold
