名前,父,母
ミスターシービー,トウショウボーイ,シービークイン
トウショウボーイ,テスコボーイ,ソシアルバターフライ
テスコボーイ,Princely Gift,Suncourt
Princely Gift,Nasrullah,Blue Gem
Nasrullah,Nearco,Mumtaz Begum
Blue Gem,Blue Peter,Sparkle
Suncourt,Hyperion,Inquisition
Hyperion,Gainsborough,Selene
Inquisition,Dastur,Jury
ソシアルバターフライ,Your Host,Wisteria
Your Host,Alibhai,Boudoir
Alibhai,Hyperion,Teresina
Boudoir,Mahmoud,Kampala
Wisteria,Easton,Blue Cyprus
Easton,Dark Legend,Phaona
Blue Cyprus,Blue Larkspur,Peggy Porter
シービークイン,トピオ,メイドウ
トピオ,Fine Top,Deliriosa
Fine Top,Fine Art,Toupie
Fine Art,Artist's Proof,Finnoise
Toupie,Vatellor,Tarentella
Deliriosa,Delirium,La Fougueuse
Delirium,Panorama,Passed Out
La Fougueuse,Admiral Drake,La Foux
メイドウ,アドミラルバード,メイワ
アドミラルバード,Nearco,Woodlark
Nearco,Pharos,Nogara
Woodlark,Bois Roussel,Aurora
メイワ,ゲイタイム,チルウインド
ゲイタイム,Rockefella,Daring Miss
チルウインド,Wyndham,Heart of Midlothian
